date,open,high,low,close,volume,market cap
2014-07-11,624.509,626.116,612.346,616.838,12242666.354166666,8061155141.527906
2014-07-12,616.762,632.086,615.769,632.086,15621345.993031358,8099875421.382404
2014-07-13,632.003,636.658,626.982,634.278,16679989.930555556,8211613262.493688
2014-07-14,633.713,634.727,624.909,626.521,12198057.692307692,8184162955.741302
2014-07-15,626.497,627.342,617.322,619.875,11318627.87456446,8093071083.653359
2014-07-16,619.315,625.141,619.315,622.054,11434746.180555556,8115173369.386614
2014-07-17,621.586,623.092,615.325,616.934,12169039.520833334,8066816930.802682
2014-07-18,616.8,626.29,608.399,622.987,13167452.194444444,8061410980.771724
2014-07-19,623.089,629.213,620.472,629.213,15501255.052264808,8115506232.023873
2014-07-20,628.779,629.166,624.597,628.628,12494571.388888888,8182834431.684298
2014-07-21,628.515,628.559,622.775,623.994,6156051.041666667,8151861711.1901245
2014-07-22,623.9,624.09,619.109,622.034,7644422.947368421,8103979111.523336
2014-07-23,622.211,624.298,620.957,621.413,10403722.743055556,8123716395.183969
2014-07-24,621.551,624.431,618.293,619.337,9578867.916666666,8108864371.779805
2014-07-25,619.415,620.429,595.566,601.243,16520255.902777778,7964429125.853978
2014-07-26,601.733,607.065,597.226,601.611,18322355.74912892,7853094112.363092
2014-07-27,601.089,602.088,593.964,595.985,11865350.0,7800554796.232361
2014-07-28,595.813,598.942,593.43,594.316,8913880.833333334,7782101048.722724
2014-07-29,593.852,594.573,575.185,585.76,14477090.945454543,7641972385.494973
2014-07-30,585.691,588.385,581.695,584.679,14844783.95522388,7645970308.81085
2014-07-31,584.725,585.122,564.896,566.849,11562696.493055556,7566763401.064319
2014-08-01,567.293,586.235,564.511,586.235,19949510.763888888,7541845083.642858
2014-08-02,586.235,597.922,583.634,594.908,20034622.85714286,7730850360.281457
2014-08-03,594.916,594.916,586.155,589.412,13558381.92982456,7730414518.271515
2014-08-04,589.333,589.333,581.65,585.625,8254428.784722222,7661108134.512382
2014-08-05,586.666,591.946,583.74,588.716,8283256.515679442,7684657768.19521
2014-08-06,588.782,589.865,584.102,585.166,11226674.722222222,7688633835.328032
2014-08-07,585.436,587.486,583.098,584.63,9972679.0625,7677023082.30298
2014-08-08,584.653,591.104,584.052,588.785,10585161.770833334,7694240197.860668
2014-08-09,588.869,598.116,588.791,592.619,13124577.351916377,7778469860.261321
2014-08-10,592.577,592.577,587.633,589.262,9176716.736111112,7729687828.123422
2014-08-11,589.372,594.46,587.942,591.01,7071456.527777778,7742835733.418812
2014-08-12,591.061,591.507,574.051,576.602,9380006.829268292,7694282039.779351
2014-08-13,576.368,576.948,566.595,569.592,17303184.375,7491684774.753191
2014-08-14,569.642,573.033,532.667,546.08,18579486.80555556,7265606050.487564
2014-08-15,546.658,546.658,498.725,505.974,32626245.486111112,6826154245.317592
2014-08-16,505.974,518.179,487.926,497.245,28753135.88850174,6721809452.300245
2014-08-17,497.01,521.475,487.744,520.182,25650440.277777776,6602515780.296505
2014-08-18,519.708,520.19,483.626,492.633,23722638.888888888,6598287281.627083
2014-08-19,491.795,499.37,443.851,461.424,36541357.839721255,6198074776.06974
2014-08-20,461.46,485.71,455.539,483.471,46453523.26388889,6225413738.916373
2014-08-21,485.245,518.285,467.511,513.219,38464101.38888889,6452119696.919231
2014-08-22,511.98,531.9,510.449,517.153,57062250.69444445,6828192713.635536
2014-08-23,517.237,521.479,501.275,514.677,40525580.83623693,6751976345.305951
2014-08-24,514.043,514.299,492.114,498.418,30248240.277777776,6622765859.421541
2014-08-25,498.075,512.888,497.351,508.066,21906956.597222224,6646218185.67407
2014-08-26,508.286,508.286,499.233,502.646,18981944.25087108,6630300214.857397
2014-08-27,502.496,512.688,502.496,511.666,19927680.55555556,6698889324.267439
2014-08-28,511.57,520.709,510.922,510.922,23876633.68055556,6798400819.523167
2014-08-29,511.153,516.157,506.877,507.368,20974827.08333333,6739398344.833507
2014-08-30,507.815,511.695,503.817,508.572,18113964.80836237,6710831853.407746
2014-08-31,508.517,509.308,501.636,504.399,15672012.951388888,6664219104.682512
2014-09-01,504.249,504.879,474.814,477.332,27322152.673611112,6453750578.626331
2014-09-02,477.763,485.306,471.91,475.725,33147391.98606272,6334398454.707097
2014-09-03,474.879,482.988,472.324,477.51,21058876.223776225,6313475894.049043
2014-09-04,477.426,481.712,476.208,477.548,17011548.263888888,6319099520.844584
2014-09-05,477.586,493.928,477.086,490.113,17910862.847222224,6399912147.699904
2014-09-06,489.66,490.643,481.609,483.116,22846763.06620209,6442479858.693912
2014-09-07,483.342,488.595,482.998,485.021,12249630.902777778,6423651415.195352
2014-09-08,484.83,488.066,482.633,482.633,9342224.375,6434130705.514884
2014-09-09,482.278,489.834,468.79,474.789,20113001.48409894,6291521102.044625
2014-09-10,474.6,477.377,467.778,475.503,24663840.277777776,6251550670.511097
2014-09-11,475.26,487.468,475.145,478.795,23149584.375,6378105416.687167
2014-09-12,479.359,482.351,474.61,479.645,19749719.444444444,6347493681.060358
2014-09-13,479.749,479.749,473.009,477.593,16115760.278745644,6318332807.076064
2014-09-14,477.753,482.117,475.098,478.879,15561947.569444444,6347133307.173951
2014-09-15,479.002,479.853,476.119,477.745,13572706.25,6344853412.125508
2014-09-16,477.892,478.62,474.022,475.434,13833225.435540069,6326559846.352878
2014-09-17,475.371,475.642,465.128,465.955,17009657.986111112,6253818030.18199
